time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
101,-11434.24837612,306,872640,7560.0,2849,1.0347089767456055,0.2,-5.8203324932522245,-0.003652336442222198,0.9993231296539307,1000,0.00012405961933297847,0.036516203703703703,0.004655537195503712,0.005585446,5e-05
102,-11138.202166230003,306,881280,7560.0,2876,1.0293512344360352,0.2,-5.797240014252839,-0.004949065579308404,0.9993446469306946,1010,0.00016719338832007013,0.03888888888888889,-0.00436719274148345,0.0056106434,5e-05
103,-10834.33775328,306,889920,7560.0,2903,1.0288690328598022,0.2,-5.786739883422851,-0.002328425469221892,0.9992944598197937,1020,0.0001663281233427201,0.02175925925925926,-0.006925152614712715,0.0046506114,5e-05
104,-10721.08774724,306,898560,7560.0,2930,1.0245025157928467,0.2,-5.777834487137971,-0.00388327370673694,0.999289870262146,1030,0.0001100656614343515,0.03706018518518518,0.00025778927374631166,0.0047413805,5e-05
105,-10393.22712001,306,907200,7560.0,2959,1.023074746131897,0.2,-5.765604301028781,-0.003165720156049011,0.9994621872901917,1040,8.955775033326871e-05,0.03231481481481482,-0.010155173018574715,0.004978528,5e-05
106,-10221.87430232,306,915840,7560.0,2988,1.0282384157180786,0.2,-5.773617426907575,-0.004349185165569738,0.9977282881736755,1050,0.0006065870211589047,0.032025462962962964,-0.004544259048998356,0.0040720315,5e-05
107,-10078.168217110002,306,924480,7560.0,3015,1.0323710441589355,0.2,-5.792566973368327,-0.004212135071348813,0.9962199926376343,1060,0.0013325416870712716,0.035798611111111114,0.01906835287809372,0.004955034,5e-05
108,-9941.56861002,306,933120,7560.0,3042,1.0293331146240234,0.2,-5.793706873787774,-0.004137261880699683,0.9995480179786682,1070,9.670192518603505e-05,0.038530092592592595,-0.015712549909949303,0.0052890144,5e-05
109,-9868.015881070001,306,941760,7560.0,3069,1.029191255569458,0.2,-5.7877757524561,-0.0031998299051904018,0.9995036125183105,1080,8.606692384529635e-05,0.02861111111111111,-0.0069742389023303986,0.0047116005,5e-05
110,-9834.30729318,306,950400,7560.0,3098,1.0327074527740479,0.2,-5.793952765288176,-0.00439623987974806,0.9977753162384033,1090,0.0002433697304810199,0.03229166666666667,0.04374067485332489,0.0045951605,5e-05
111,-9687.49899156,306,959040,7560.0,3125,1.0314913988113403,0.2,-5.799342118015995,-0.0048458709698860295,0.9983038306236267,1100,0.00048264881300619217,0.03616898148148148,-0.008871695026755333,0.0047936565,5e-05
112,-9535.21908475,306,967680,7560.0,3154,1.0323801040649414,0.2,-5.798481593308625,-0.005212404076354923,0.9975465536117554,1110,0.0007983063134209563,0.03815972222222222,-0.019808495417237282,0.004305446,5e-05
113,-9515.0850497,306,976320,7560.0,3182,1.0294806957244873,0.2,-5.794141569137573,-0.0038475559965741855,0.9990381598472595,1120,0.00016054543802628931,0.03627314814814815,-0.005970104597508907,0.004778391,5e-05
114,-9487.32411576,306,984960,7560.0,3209,1.0290969610214233,0.2,-5.787984463727033,-0.005784344024507812,0.9993933439254761,1130,0.0001277337522764423,0.054375,0.01030340138822794,0.0064741066,5e-05
115,-9465.709715859999,306,993600,7560.0,3237,1.0309686660766602,0.2,-5.790986874898275,-0.004504967604556845,0.9994499087333679,1140,7.969587850783244e-05,0.0346412037037037,-0.020046446472406387,0.0049455552,5e-05
116,-9449.15216653,307,1002240,7560.0,3264,1.0304926633834839,0.2,-5.792871523963081,-0.004743112517624265,0.9994217753410339,1150,0.00011078391490931001,0.03611111111111111,-0.002742286305874586,0.005081743,5e-05
117,-9414.50256357,307,1010880,7560.0,3291,1.0284422636032104,0.2,-5.787925963931613,-0.003523696965917393,0.999379575252533,1160,7.985231046472176e-05,0.04199074074074074,0.011154181323945522,0.00555383,5e-05
118,-9374.47798383,307,1019520,7560.0,3319,1.0255175828933716,0.2,-5.77855701552497,-0.00351871767460748,0.9992817044258118,1170,8.858440197299286e-05,0.029548611111111112,-0.0019065766828134656,0.0045096935,5e-05
119,-9284.836506950001,307,1028160,7560.0,3348,1.024134874343872,0.2,-5.7705877431233725,-0.0032365896302723775,0.9995337128639221,1180,5.984552413590589e-05,0.029108796296296296,0.006659424398094416,0.004438792,5e-05
120,-9252.5164951,307,1036800,7560.0,3376,1.0241198539733887,0.2,-5.767730811436971,-0.002658705486122657,0.9996637105941772,1190,0.00010945353544903575,0.026979166666666665,-0.026487158611416817,0.004570244,5e-05
121,-9209.17979384,307,1045440,7560.0,3403,1.0230870246887207,0.2,-5.7655534309811065,-0.0022726617617256665,0.999455988407135,1200,0.00016364069902920165,0.02017361111111111,0.010235973633825779,0.0036353045,5e-05
122,-9195.27924311,307,1054080,7560.0,3431,1.0167183876037598,0.2,-5.7499986334200255,-0.003572809593234625,0.9994634389877319,1210,0.00016772217392927916,0.03253472222222222,0.011589569970965385,0.004913765,5e-05
